"Name","Votes","%vote","yearID","percent_vote","inducted"
"Carlos Beltrán",358,"84.2%",2026,84.2,"Y"
"Andruw Jones",333,"78.4%",2026,78.4,"Y"
"Chase Utley",251,"59.1%",2026,59.1,"N"
"Andy Pettitte",206,"48.5%",2026,48.5,"N"
"Félix Hernández",196,"46.1%",2026,46.1,"N"
"Alex Rodriguez",170,"40.0%",2026,40,"N"
"Manny Ramirez",165,"38.8%",2026,38.8,"N"
"Bobby Abreu",131,"30.8%",2026,30.8,"N"
"Jimmy Rollins",108,"25.4%",2026,25.4,"N"
"Cole Hamels",101,"23.8%",2026,23.8,"N"
"Dustin Pedroia",88,"20.7%",2026,20.7,"N"
"Mark Buehrle",85,"20.0%",2026,20,"N"
"Omar Vizquel",78,"18.4%",2026,18.4,"N"
"David Wright",63,"14.8%",2026,14.8,"N"
"Francisco Rodríguez",50,"11.8%",2026,11.8,"N"
"Torii Hunter",37,"8.7%",2026,8.7,"N"
"Ryan Braun",15,"3.5%",2026,3.5,"N"
"Edwin Encarnación",6,"1.4%",2026,1.4,"N"
"Shin-Soo Choo",3,"0.7%",2026,0.7,"N"
"Hunter Pence",2,"0.5%",2026,0.5,"N"
"Matt Kemp",2,"0.5%",2026,0.5,"N"
"Rick Porcello",2,"0.5%",2026,0.5,"N"
"Nick Markakis",1,"0.2%",2026,0.2,"N"
"Alex Gordon",1,"0.2%",2026,0.2,"N"
"Daniel Murphy",0,"0.0%",2026,0,"N"
"Howie Kendrick",0,"0.0%",2026,0,"N"
"Gio Gonzalez",0,"0.0%",2026,0,"N"
